"Id","Name","Language"
"34000047","Pomorie","de"
"34000048","Nesebar","de"
"34000049","Ljaskowetz","de"
"34000050","Nowi Pazar","de"
"34000051","Prowadija","de"
"34000052","Raslog","de"
"34000053","Slatograd","de"
"34000054","Kosluduj","de"
"34000055","Kostinbrod","de"
"34000056","Bankja","de"
"34000057","Stamboliyski","de"
"34000058","Etropole","de"
"34000059","Momtschilgrad","de"
"34000060","Devnja","de"
"34000061","Rakitowo","de"
"34000062","Sopot","de"
"34000063","Septemwri","de"
"34000064","Kritchim","de"
"34000065","Byala","de"
"34000066","Aksakowo","de"
"34000067","Beloslaw","de"
"34000068","Elin Pelin","de"
"34000069","Slawnitza","de"
"34000070","Madan","de"
"34000071","Aydemir","de"
"34000072","Dewin","de"
"34000073","Lozen","de"
"34000074","Warschets","de"
"34000075","Saedinenie","de"
"34000076","Bistritza","de"
"34000077","Boshurischte","de"
"34000078","Suoworowo","de"
"34000079","Peruschtsitza","de"
"34000080","Dolna Banja","de"
"34000081","Wetowo","de"
"34000082","Kasitschene","de"
"34000083","Ignatiewo","de"
"34000084","Kostandowo","de"
"34000085","Bukowlak","de"
"34000086","Koinare","de"
"34000087","Slawjanowo","de"
"34000088","Trud","de"
"34000089","Kalipetrowo","de"
"34000090","Saparewa Banja","de"
"34000091","Malo Konare","de"
"34000092","Warbitsa","de"
"34000093","Marten","de"
"34000094","Debelets","de"
"34000095","Wladaja","de"
"34000096","Parwenetz","de"
"34000097","Sarniza","de"
"34000098","Sweti Wlas","de"
"34000099","Rudossem","de"
"34000100","Topotschane","de"
"34000101","Brestowiza","de"
"34000102","Aleko Konstantinowo","de"
"34000103","Guljantsi","de"
"34000104","Nikolaevo","de"
"34000105","Rogosch","de"
"34000106","Banja","de"
"34000107","Kran","de"
"34000108","Topoli","de"
"34000109","Pantscharewo","de"
"34000110","Kamenar","de"
"34000111","Iwajlo","de"
"34000112","Gurkowo","de"
"34000113","Sotirja","de"
"34000114","Ruen","de"
"34000115","Kableschkowo","de"
"34000116","Wetren","de"
"34000117","Dolna Orjachowiza","de"
"34000118","Wolujak","de"
"34000119","German","de"
"34000120","Buhowo","de"
"34000121","Kalofer","de"
"34000122","Kalekowez","de"
"34000123","Nikolowo","de"
"34000124","Rawda","de"
"34000125","Glozhene","de"
"34000126","Nowo Selo","de"
"34000127","Kurtowo Konare","de"
"34000128","Skutare","de"
"34000129","Ablaniza","de"
"34000130","Sadowo","de"
"34000131","Chepintsi","de"
"34000132","Parwomajzi","de"
"34000133","Draganowo","de"
"34000134","Ognjanowo","de"
"34000135","Walkosel","de"
"34000136","Rakowski","de"
"34000137","Kilifarewo","de"
"34000138","Glawinitza","de"
"34000139","Swetiwrachen","de"
"34000140","Bregowo","de"
"34000141","Ajeloy","de"
"34000142","Kruschare","de"
"34000143","Gradina","de"
"34000144","Startsewo","de"
"34000145","Obzor","de"
"34000146","Batanowzi","de"
"34000147","Zarazowo","de"
"34000148","Wojwodinowo","de"
"34000149","Borowo","de"
"34000150","Balgorowo","de"
"34000151","Petarch","de"
"34000152","Tschernogorowo","de"
"34000153","Kokaljane","de"
"34000154","Oreschak","de"
"34000155","Dragitschewo","de"
"34000156","Ostrovo","de"
"34000157","Mokrishte","de"
"34000158","Jachinowo","de"
"34000159","Kostiewo","de"
"34000160","Krainizi","de"
"34000161","Aleksandrowo","de"
"34000162","Sinitowo","de"
"34000163","Esserowo","de"
"34000164","Resen","de"
"34000165","Graf Ignatiewo","de"
"34000166","Seliminowo","de"
"34000167","Usundzhowo","de"
"34000168","Busmantsi","de"
"34000169","Lyuben Karawelowo","de"
"34000170","Lesnowo","de"
"34000171","Byal Izwor","de"
"34000172","Meritschleri","de"
"34000173","Polikraise","de"
"34000174","Divotino","de"
"34000175","Rawnec","de"
"34000176","Kermen","de"
"34000177","Kukorewo","de"
"34000178","Samoranowo","de"
"34000179","Stoscher","de"
"34000180","Scheltseniza","de"
"34000181","Slokoshtiza","de"
"34000182","Negowan","de"
"34000183","Orisare","de"
"34000184","Triwoditsi","de"
"34000185","Krepost","de"
"34000186","Bistritza","de"
"34000187","Griviza","de"
"34000188","Mirowjane","de"
"34000189","Saraja","de"
"34000190","Stratzin","de"
"34000191","Planinitsa","de"
"34000192","Krivina","de"
"34000193","Karageorgiewo","de"
"34000194","Prosenik","de"
"34000195","Winogradez","de"
"34000196","Tankowo","de"
"34000197","Maglen","de"
"34000198","Zarew Brod","de"
"34000199","Tranack","de"
"34000200","Raschiza","de"
"34000201","Shipka","de"
"34000202","Basarbowo","de"
"34000203","Karabunar","de"
"34000204","Dscherman","de"
"34000205","Koscharitsa","de"
"34000206","Konstantinowo","de"
"34000207","Benqowski","de"
"34000208","Jabaltchewo","de"
"34000209","Galabets","de"
"34000210","Tscherven Woda","de"
"34000211","Weselinowo","de"
"34000212","Bata","de"
"34000213","Golyamo Nowo","de"
"34000214","Dolni Bogrow","de"
"34000215","Aldomirowzi","de"
"34000216","Karapelit","de"
"34000217","Nowo Selo","de"
"34000218","Belogradez","de"
"34000219","Sandrowo","de"
"34000220","Gabrowniza","de"
"34000221","Jabalkowo","de"
"34000222","Waglen","de"
"34000223","Wardun","de"
"34000224","Gorni Bogrow","de"
"34000225","Marchaevo","de"
"34000226","Zaichar","de"
"34000227","Baniza","de"
"34000228","Wojwodowo","de"
"34000229","Malewo","de"
"34000230","Opalchensko","de"
"34000231","Semerdzhiewo","de"
"34000232","Swesdiza","de"
"34000233","Marinka","de"
"34000234","Gyuljowza","de"
"34000235","Gluhar","de"
"34000236","Boboschewo","de"
"34000237","Hadzhijewo","de"
"34000238","Waklinowo","de"
"34000239","Pisarewo","de"
"34000240","Warbitsa","de"
"34000241","Kladnica","de"
"34000242","Dolen","de"
"34000243","Pataleniza","de"
"34000244","Gorski Iswor","de"
"34000245","Stefanowo","de"
"34000246","Borowo","de"
"34000247","Dobromir","de"
"34000248","Snyagowo","de"
"34000249","Wojsil","de"
"34000250","Tscherven Breg","de"
"34000251","Wresowo","de"
"34000252","Kadiewo","de"
"34000253","Winiza","de"
"34000254","Isworsko","de"
"34000255","Mortagonowo","de"
"34000256","Dobroslawzi","de"
"34000001","Sofia","fr"
"34000002","Varna","fr"
"34000003","Plovdiv","fr"
"34000004","Bourgas","fr"
"34000005","Roussé","fr"
"34000006","Stara Zagora","fr"
"34000007","Pleven","fr"
"34000008","Sliven","fr"
"34000009","Pernik","fr"
"34000010","Pazardzhik","fr"
"34000011","Dobriche","fr"
"34000012","Choumen","fr"
"34000013","Haskovo","fr"
"34000014","Veliko Tarnovo","fr"
"34000015","Blagoevgrad","fr"
"34000016","Yambol","fr"
"34000017","Kazanlak","fr"
"34000018","Asenovgrad","fr"
"34000019","Kioustendil","fr"
"34000020","Vratsa","fr"
"34000021","Gabrovo","fr"
"34000022","Targovishte","fr"
"34000023","Kardjali","fr"
"34000024","Vidin","fr"
"34000025","Razgrad","fr"
"34000026","Svishtov","fr"
"34000027","Silistra","fr"
"34000028","Dupnitsa","fr"
"34000029","Montana","fr"
"34000030","Lovech","fr"
"34000031","Dimitrovgrad","fr"
"34000032","Smolyan","fr"
"34000033","Gorna Oryahovitsa","fr"
"34000034","Pétritch","fr"
"34000035","Gotse Delchev","fr"
"34000036","Aytos","fr"
"34000037","Rakovski","fr"
"34000038","Omurtag","fr"
"34000039","Vélingrad","fr"
"34000040","Isperih","fr"
"34000041","Lom","fr"
"34000042","Karlovo","fr"
"34000043","Panagyurishte","fr"
"34000044","Botevgrad","fr"
"34000045","Péchtéra","fr"
"34000046","Veliki Preslav","fr"
"34000047","Pomorie","fr"
"34000048","Nesebar","fr"
"34000049","Lyaskovets","fr"
"34000050","Novi Pazar","fr"
"34000051","Provadia","fr"
"34000052","Razlog","fr"
"34000053","Zlatograd","fr"
"34000054","Kozloduy","fr"
"34000055","Kostinbrod","fr"
"34000056","Bankya","fr"
"34000057","Stamboliyski","fr"
"34000058","Étropole","fr"
"34000059","Momchilgrad","fr"
"34000060","Devnya","fr"
"34000061","Rakitovo","fr"
"34000062","Sopot","fr"
"34000063","Septemvri","fr"
"34000064","Krichim","fr"
"34000065","Byala","fr"
"34000066","Aksakovo","fr"
"34000067","Beloslav","fr"
"34000068","Elin Pelin","fr"
"34000069","Slivnitsa","fr"
"34000070","Madan","fr"
"34000071","Aydemir","fr"
"34000072","Devin","fr"
"34000073","Lozen","fr"
"34000074","Varshets","fr"
"34000075","Saedinenie","fr"
"34000076","Bistritsa","fr"
"34000077","Bozhurishte","fr"
"34000078","Suvorovo","fr"
"34000079","Perushtitsa","fr"
"34000080","Dolna Banya","fr"
"34000081","Vetovo","fr"
"34000082","Kazichene","fr"
"34000083","Ignatievo","fr"
"34000084","Kostandovo","fr"
"34000085","Bukovlak","fr"
"34000086","Koynare","fr"
"34000087","Slavyanovo","fr"
"34000088","Trud","fr"
"34000089","Kalipetovo","fr"
"34000090","Sapareva Banya","fr"
"34000091","Malo Konare","fr"
"34000092","Varbitsa","fr"
"34000093","Marten","fr"
"34000094","Debelets","fr"
"34000095","Vladaya","fr"
"34000096","Parvenets","fr"
"34000097","Sarnitsa","fr"
"34000098","Saint Vlas","fr"
"34000099","Rudozem","fr"
"34000100","Topolchane","fr"
"34000101","Brestovitsa","fr"
"34000102","Aleko Konstantinovo","fr"
"34000103","Gulyantsi","fr"
"34000104","Nikolaevo","fr"
"34000105","Rogosh","fr"
"34000106","Banya","fr"
"34000107","Kran","fr"
"34000108","Topoli","fr"
"34000109","Pancharevo","fr"
"34000110","Kamenar","fr"
"34000111","Ivaylo","fr"
"34000112","Gurkovo","fr"
"34000113","Sotirya","fr"
"34000114","Ruen","fr"
"34000115","Kableshkovo","fr"
"34000116","Vetren","fr"
"34000117","Dolna Oryahovitsa","fr"
"34000118","Voluyak","fr"
"34000119","German","fr"
"34000120","Buhovo","fr"
"34000121","Kalofer","fr"
"34000122","Kalekovets","fr"
"34000123","Nikolovo","fr"
"34000124","Ravda","fr"
"34000125","Glozhene","fr"
"34000126","Novo Selo","fr"
"34000127","Kurtovo Konare","fr"
"34000128","Skutare","fr"
"34000129","Ablanitsa","fr"
"34000130","Sadovo","fr"
"34000131","Chepintsi","fr"
"34000132","Parvomaytsi","fr"
"34000133","Draganovo","fr"
"34000134","Ognyanovo","fr"
"34000135","Valkosel","fr"
"34000136","Rakovski","fr"
"34000137","Kilifarevo","fr"
"34000138","Glavinitsa","fr"
"34000139","Svetovrachane","fr"
"34000140","Bregovo","fr"
"34000141","Aheloy","fr"
"34000142","Krushare","fr"
"34000143","Gradina","fr"
"34000144","Startsevo","fr"
"34000145","Obzor","fr"
"34000146","Batanovtsi","fr"
"34000147","Tsaratsovo","fr"
"34000148","Voyvodinovo","fr"
"34000149","Borovo","fr"
"34000150","Balgarovo","fr"
"34000151","Petarch","fr"
"34000152","Chernogorovo","fr"
"34000153","Kokalyane","fr"
"34000154","Oreshak","fr"
"34000155","Dragichevo","fr"
"34000156","Ostrovo","fr"
"34000157","Mokrishte","fr"
"34000158","Yahinovo","fr"
"34000159","Kostievo","fr"
"34000160","Krainitsi","fr"
"34000161","Aleksandrovo","fr"
"34000162","Sinitovo","fr"
"34000163","Ezerovo","fr"
"34000164","Resen","fr"
"34000165","Graf Ignatievo","fr"
"34000166","Seliminovo","fr"
"34000167","Uzundzhovo","fr"
"34000168","Busmantsi","fr"
"34000169","Lyuben Karavelovo","fr"
"34000170","Lesnovo","fr"
"34000171","Byal Izvor","fr"
"34000172","Merichleri","fr"
"34000173","Polikrayshte","fr"
"34000174","Divotino","fr"
"34000175","Ravnets","fr"
"34000176","Kermen","fr"
"34000177","Kukorevo","fr"
"34000178","Samoranovo","fr"
"34000179","Stozher","fr"
"34000180","Zheleznitsa","fr"
"34000181","Slokoshtitsa","fr"
"34000182","Negovan","fr"
"34000183","Orizare","fr"
"34000184","Trivoditsi","fr"
"34000185","Krepost","fr"
"34000186","Bistritsa","fr"
"34000187","Grivitsa","fr"
"34000188","Mirovyane","fr"
"34000189","Saraya","fr"
"34000190","Stratsin","fr"
"34000191","Planinitsa","fr"
"34000192","Krivina","fr"
"34000193","Karageorgievo","fr"
"34000194","Prosenik","fr"
"34000195","Vinogradets","fr"
"34000196","Tankovo","fr"
"34000197","Maglen","fr"
"34000198","Tsarev Brod","fr"
"34000199","Tranak","fr"
"34000200","Razhitsa","fr"
"34000201","Shipka","fr"
"34000202","Basarbovo","fr"
"34000203","Karabunar","fr"
"34000204","Dzhérman","fr"
"34000205","Kosharytsa","fr"
"34000206","Konstantinovo","fr"
"34000207","Benkovski","fr"
"34000208","Yabalchevo","fr"
"34000209","Galabets","fr"
"34000210","Chervena Voda","fr"
"34000211","Veselinovo","fr"
"34000212","Bata","fr"
"34000213","Golyamo Novo","fr"
"34000214","Dolni Bogrov","fr"
"34000215","Aldomirovtsi","fr"
"34000216","Karapelit","fr"
"34000217","Novo Selo","fr"
"34000218","Belogradets","fr"
"34000219","Sandrovo","fr"
"34000220","Gabrovnitsa","fr"
"34000221","Yabalkovo","fr"
"34000222","Vaglen","fr"
"34000223","Vardun","fr"
"34000224","Gorni Bogrov","fr"
"34000225","Marchaevo","fr"
"34000226","Zaychar","fr"
"34000227","Banitsa","fr"
"34000228","Voyvodovo","fr"
"34000229","Malevo","fr"
"34000230","Opalchensko","fr"
"34000231","Semerdzhievo","fr"
"34000232","Zvezditsa","fr"
"34000233","Marinka","fr"
"34000234","Gyulyovtsa","fr"
"34000235","Gluhar","fr"
"34000236","Boboshevo","fr"
"34000237","Hadzhievo","fr"
"34000238","Vaklinovo","fr"
"34000239","Pisarevo","fr"
"34000240","Varbitsa","fr"
"34000241","Kladnitsa","fr"
"34000242","Dolen","fr"
"34000243","Patalenitsa","fr"
"34000244","Gorski Izvor","fr"
"34000245","Stefanovo","fr"
"34000246","Borovo","fr"
"34000247","Dobromir","fr"
"34000248","Snyagovo","fr"
"34000249","Voysil","fr"
"34000250","Cherven Breg","fr"
"34000251","Vresovo","fr"
"34000252","Kadievo","fr"
"34000253","Vinitsa","fr"
"34000254","Izvorsko","fr"
"34000255","Mortagonovo","fr"
"34000256","Dobroslavtsi","fr"
